Projektnummer$Standort$Adresse$Auftraggeber$Bearbeiter$Projektbezeichnung$Leistungen$Latitude$Longitude
10001$Düsseldorf$Lewitstraße 32$AG$Haa/Mi$Project 1$Gutachten$51.2431$6.7910
10002$Düsseldorf$Lewitstraße 32$AG$Haa/Mi$Project 1$Bergbau$51.2320$6.7910
10003$Düsseldorf$Lewitstraße 32$AG$Haa/Mi$Project 2$Abeitsschutz$51.2632$6.7434
10004$Düsseldorf$Lewitstraße 32$AG$Haa/Mi$Project 3$BIM$51.2723$6.7945
10005$Düsseldorf$Lewitstraße 32$AG$Haa/Mi$Project 4$Umwelt$51.2935$6.7168
10006$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 5$mehrere Leistungen$51.2400$6.7950
10007$Düsseldorf$Lewitstraße 39$BG$Haa/Mi$Project 6$BIM$51.190435$6.806071
10008$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 7$Umwelt$51.167325$6.748172
10009$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 9$Abeitsschutz$51.21615$6.751497
100010$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 10$mehrere Leistungen$51.234421$6.755599
100011$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 11$Gutachten$51.2623$6.7728
100012$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 12$Umwelt$51.274249$6.791114
100013$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 13$Gutachten$51.210621$6.675796
100014$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 14$Umwelt$51.297421$6.795929
100015$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 15$mehrere Leistungen$51.268884$6.744625
100016$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 16$Umwelt$51.213673$6.803994
100017$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 17$Abeitsschutz$51.201932$6.752996
100018$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 18$mehrere Leistungen$51.282328$6.652295
100019$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Außendienst$BIM$51.2490$6.73612
100020$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 20$Bergbau$51.249755$6.745303
100021$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 21$Umwelt$51.276331$6.821673
100022$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 22$Abeitsschutz$51.152256$6.746085
100023$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 23$Bergbau$51.204065$6.843055
100024$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 24$BIM$51.170266$6.700704
100025$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 25$Bergbau$51.196842$6.66228
100026$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 26$Gutachten$51.217392$6.800824
100027$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 27$Bergbau$51.168495$6.75296
100028$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 28$BIM$51.17372$6.73369
100029$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 29$Abeitsschutz$51.159567$6.774362
100030$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 30$mehrere Leistungen$51.168865$6.655494
100031$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 31$Bergbau$51.191737$6.761767
100032$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 32$BIM$51.266758$6.723419
100033$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 33$Gutachten$51.192806$6.750942
100034$Düsseldorf$Lewitstraße 39$BS$Haa/Mi$Project 34$Umwelt$51.182258$6.838874
100035$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 35$mehrere Leistungen$51.206336$6.774142
100036$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 36$Gutachten$51.251302$6.833394
100037$Düsseldorf$Lewitstraße 39$AG$Haa/Mi$Project 37$Umwelt$51.299245$6.708978


